symbol,companyName,open,close,high,low,latestPrice,latestVolume,previousClose,change,changePercent,avgTotalVolume,marketCap,week52High,week52Low,ytdChange,primaryExchange,previousVolume,volume,peRatio,sector
PSTVZ,"Plus Therapeutics, Inc.",,,0.007,0.007,0.007,0,,,,,28780,0,0,0,NASDAQ,,0,,Health Technology
AMRHW,"Ameri Holdings, Inc.",0.0115,0.0115,0.0115,0.0115,0.0115,4444,,,,,29003,0.94,0.0115,0,NASDAQ,,0,,Consumer Durables
CYTXZ,"Cytori Therapeutics, Inc.",0.0014,0.0014,,,0.0014,0,0.002,-0.0006,-0.3,33252,31018,0.18,0.0014,,NASDAQ,,0,,Health Technology
DRIOW,DarioHealth Corp.,0.0241,0.024,0.0297,0.0239,0.024,400,,,,,52436,0.6,0.02,0,NASDAQ,,0,,Health Technology
LMFAW,"LM Funding America, Inc.",0.0143,0.02,0.0259,0.0143,0.02,2203,,,,,76000,0.19,0.01,0,NASDAQ,,0,,Commercial Services
CHEKW,Check-Cap Ltd.,,,0.0101,0.0101,0.0101,0,,,,,83487,1.23,0.0101,0,NASDAQ,,0,,Health Technology
AMRHW,"Ameri Holdings, Inc.",0.033,0.0331,0.0333,0.032,0.0331,5745,,,,,107476,0.94,0.02,0,NASDAQ,,0,,Technology Services
OXBRW,Oxbridge Re Holdings Ltd.,0.0301,0.025,0.049,0.023,0.025,8400,,,,,143350,0.18,0.01,0,NASDAQ,,0,,Finance
ALGRW,Allegro Merger Corp.,,,0.0097,0.0097,0.0097,0,,,,,148188,1,0.22,0,NASDAQ,,0,,Finance
AIRTW,"Air T, Inc.",0.05,0.052,0.0576,0.05,0.052,1001,,,,,151476,0,0,0,NASDAQ,,0,,Transportation
EYEGW,"EyeGate Pharmaceuticals, Inc.",,,0.0391,0.0391,0.0391,0,,,,,180906,0.15,0.01,0,NASDAQ,,0,,Health Technology
TOTAW,Tottenham Acquisition I Ltd.,,,0.05,0.05,0.05,0,,,,,185520,0.25,0.12,0,NASDAQ,,0,,Finance
KBLMW,KBL Merger Corp. IV,0.045,0.045,0.045,0.045,0.045,900,,,,,199085,0.4,0.05,0,NASDAQ,,0,,Finance
BRPAW,Big Rock Partners Acquisition Corp.,0.0801,0.08,0.0831,0.08,0.08,6000,,,,,217282,0.55,0.2,0,NASDAQ,,0,,Finance
ALGRR,Allegro Merger Corp.,,,0.018,0.018,0.018,0,,,,,274988,0.46,0.16,0,NASDAQ,,0,,Finance
NBACW,Newborn Acquisition Corp.,0.0409,0.0409,0.044,0.0409,0.0409,10000,,,,,305114,0,0,0,NASDAQ,,0,,Finance
MNGA,"MagneGas Applied Technology Solutions, Inc.",,,2000,1755,0.1801,,,,,0,321092,2000,0,0,NASDAQ,,,,Industrial Services
CETXW,"Cemtrex, Inc.",0.0261,0.033,0.035,0.0261,0.033,9320,,,,,323645,0.5,0.01,0,NASDAQ,,0,,Electronic Technology
SGLBW,"Sigma Labs, Inc.",,,0.105,0.105,0.105,0,,,,,324046,0.97,0.11,0,NASDAQ,,0,,Technology Services
