symbol,companyName,open,close,high,low,latestPrice,latestVolume,previousClose,change,changePercent,avgTotalVolume,marketCap,week52High,week52Low,ytdChange,primaryExchange,previousVolume,volume,peRatio,sector,esg_category
OXBRW,Oxbridge Re Holdings Ltd.,0.0301,0.025,0.049,0.023,0.025,8400,,,,,143350,0.18,0.01,0,NASDAQ,,0,,Finance,1
KBLMR,KBL Merger Corp. IV,0.0891,0.088,0.0959,0.0612,0.088,71550,,,,,389321,0.56,0.12,0,NASDAQ,,0,,Finance,3
LIVKW,LIV Capital Acquisition Corp.,,,0.3,0.3,0.3,0,,,,,624750,0,0,0,NASDAQ,,0,,Finance,2
ZGYHW,Yunhong International,,,0.1008,0.1008,0.1008,0,,,,,727776,0,0,0,NASDAQ,,0,,Finance,2
GLACW,Greenland Acquisition Corp.,0.18,0.149,0.19,0.1484,0.149,35100,,,,,861518,0.75,0.1,0,NASDAQ,,0,,Finance,1
GRNVW,Greenvision Acquisition Corp.,0.13,0.13,0.13,0.13,0.13,100,,,,,934375,0,0,0,NASDAQ,,0,,Finance,3
NBACR,Newborn Acquisition Corp.,0.16,0.16,0.164,0.16,0.16,23900,,,,,1193600,0,0,0,NASDAQ,,0,,Finance,2
AGBAR,AGBA Acquisition Ltd.,,,0.1999,0.1999,0.1999,0,,,,,1194403,0,0,0,NASDAQ,,0,,Finance,2
SJOYW,Scienjoy Holding Corp.,0.24,0.2,0.24,0.19,0.2,124125,,,,,1491600,0,0,0,NASDAQ,,0,,Finance,4
JFKKW,8i Enterprises Acquisition Corp.,0.1825,0.252,0.35,0.1125,0.252,2038,,,,,1871730,0,0,0,NASDAQ,,0,,Finance,1
APEX,"APEX Global Brands, Inc.",0.53,0.59,0.65,0.5288,0.59,1426071,0.5138,0.0762,0.14831,251610,3286890,2.82,0.26,-0.14089,NASDAQ,209672,0,-0.28,Consumer Non-Durables,2
GSMGW,Glory Star New Media Group Holdings Ltd.,0.06,0.06,0.06,0.051,0.06,230,,,,,3353934,0,0,0,NASDAQ,,0,,Finance,3
OPTT,"Ocean Power Technologies, Inc.",0.48,0.43,0.48,0.412,0.43,509323,0.4598,-0.0298,-0.06481,1372700,3980080,2.58,0.329,-0.59231,NASDAQ,2367574,0,-0.17,Producer Manufacturing,4
WRLSR,"American Virtual Cloud Technologies, Inc.",,,0.2188,0.2188,0.2188,0,,,,,4296313,0.55,0.18,0,NASDAQ,,0,,Finance,1
ARTL,"Artelo Biosciences, Inc.",1.3,1.43,1.46,1.22,1.43,226589,1.32,0.11,0.08333,79696,4901182,12,0.61,-0.42017,NASDAQ,92659,0,-0.59,Retail Trade,2
SINO,Sino-Global Shipping America Ltd.,0.377,0.37,0.377,0.352,0.37,109783,0.377,-0.007,-0.01857,191990,6748430,0.81,0.2802,-0.23967,NASDAQ,135097,0,-1.01,Transportation,4
PSTV,"Plus Therapeutics, Inc.",1.76,1.73,1.76,1.69,1.73,54539,1.71,0.02,0.0117,107021,7112653,22.89,0.931,-0.2675,NASDAQ,84734,0,-0.27,Health Technology,2
FFHL,"Fuwei Films (Holdings) Co., Ltd.",2.35,2.31,2.35,2.241,2.31,10187,2.25,0.06,0.02667,28818,7544090,7.37,1.56,-0.14533,NASDAQ,10029,0,4.72,Process Industries,4
SPEX,"Spherix, Inc.",,,,,1.63,0,1.63,0,0,7617176,7865645,5.52,0.65,0.164286,NASDAQ,4997123,0,,Health Technology,2
PIXY,"ShiftPixy, Inc.",5.3,5.24,5.3,5.07,5.24,655885,5.23,0.01,0.00191,2445573,7967734,30.44,3.21,-0.41389,NASDAQ,1132661,0,-0.28,Commercial Services,3
TWMC,Trans World Entertainment Corp.,5.13,5.14,5.31,4.902,5.14,23890,4.98,0.16,0.03213,18902,9349660,9.72,1.68,1.57673,NASDAQ,14350,0,-0.01,Retail Trade,2
MOXC,"Moxian, Inc.",0.7,0.61,0.7,0.5913,0.61,46344,0.6533,-0.0433,-0.06628,27191,9876815,3.49,0.5,-0.77578,NASDAQ,25611,0,21.11,Technology Services,2
YVR,Liquid Media Group Ltd.,1.58,1.46,1.59,1.45,1.46,172578,1.59,-0.13,-0.08176,195553,9906348,3.69,1.1,-0.36256,NASDAQ,125179,0,-1.17,Technology Services,1
IPDN,"Professional Diversity Network, Inc.",,,0.91,0.91,0.91,0,0.91,0,0,0,9942569,3.16,0.78,0,NASDAQ,,0,-1.63,Technology Services,2
MYOS,"MYOS RENS Technology, Inc.",0.98,0.97,1.01,0.96,0.97,428920,0.9512,0.0188,0.01976,844292,10699197,1.8,0.7412,-0.18514,NASDAQ,352167,0,-2.17,Health Technology,2
PHIO,Phio Pharmaceuticals Corp.,2.42,2.35,2.457,2.21,2.35,169018,2.39,-0.04,-0.01674,408861,10765186,26.79,1.6,-0.77814,NASDAQ,1015228,0,-0.38,Health Technology,2
LEDS,SemiLEDs Corp.,3.09,2.96,3.149,2.76,2.96,252621,3.24,-0.28,-0.08642,455050,11168080,4.1,1.03,0.40848,NASDAQ,1295955,0,-6.21,Electronic Technology,3
TYHT,"Shineco, Inc.",0.4,0.42,0.435,0.4,0.42,122420,0.4243,-0.0043,-0.01013,143912,11479860,1.07,0.35,-0.32723,NASDAQ,129948,0,-2.25,Process Industries,4
EVOL,"Evolving Systems, Inc.",0.98,0.99,0.99,0.93,0.99,8031,0.9924,-0.0024,-0.00242,23095,12072555,1.31,0.561,0.11608,NASDAQ,8593,0,-1.4,Technology Services,2
TENX,"Tenax Therapeutics, Inc.",1.34,1.32,1.35,1.25,1.32,152221,1.27,0.05,0.03937,336449,12168499,1.68,0.25,-0.03103,NASDAQ,565763,0,-0.94,Health Technology,2
MARA,"Marathon Patent Group, Inc.",0.73,0.72,0.75,0.7022,0.72,1979835,0.7194,0.0006,0.00083,4591055,13115664,3.49,0.3522,-0.18227,NASDAQ,1907576,0,-1.55,Commercial Services,4
AMCIW,AMCI Acquisition Corp.,0.46,0.4798,0.5,0.4,0.4798,10300,,,,,13225696,0.35,0.32,0,NASDAQ,,0,,Finance,2
CLIR,ClearSign Technologies Corp.,0.52,0.5,0.53,0.485,0.5,242971,0.5067,-0.0067,-0.01322,180954,13354900,1.5,0.35,-0.33182,NASDAQ,766834,0,-1.65,Electronic Technology,1
DRIO,DarioHealth Corp.,6.82,6.38,6.82,5.97,6.38,38931,6.5,-0.12,-0.01846,82385,13939343,13.13,3.02,-0.03996,NASDAQ,82934,0,-0.61,Health Technology,2
EDNT,"Edison Nation, Inc.",2.45,2.44,2.45,2.32,2.44,150525,2.41,0.03,0.01245,1277264,14759560,5.2,1.32,0.23245,NASDAQ,670037,0,-1.97,Commercial Services,2
TAIT,"Taitron Components, Inc.",2.59,2.55,2.6,2.36,2.55,18998,2.49,0.06,0.0241,7697,14783911,3.99,2.02,-0.0843,NASDAQ,15201,0,21.65,Distribution Services,3
EFOI,"Energy Focus, Inc.",0.98,0.94,0.98,0.8211,0.94,1273473,0.8994,0.0406,0.04514,1322424,14943180,1.16,0.1614,0.99454,NASDAQ,5143684,0,-2.35,Producer Manufacturing,4
CIICW,CIIG Merger Corp.,0.6,0.6,0.6,0.6,0.6,1,,,,,15525000,0,0,0,NASDAQ,,0,,Finance,3
AKER,"Akers Biosciences, Inc.",3.57,3.44,3.57,3.33,3.44,803372,3.5,-0.06,-0.01714,1398730,16358610,16.32,1.55,0.05786,NASDAQ,1346247,0,-0.56,Health Technology,2
CHCI,"Comstock Holding Cos., Inc.",2.02,2.04,2.055,1.99,2.04,29987,1.96,0.08,0.04082,566057,16384831,6.26,1.06,0.05072,NASDAQ,12408,0,17.83,Consumer Durables,3
RMBL,"RumbleOn, Inc.",7.65,7.41,7.8,7.11,7.41,148723,7.55,-0.14,-0.01854,445680,16396107,104.6,3,-0.57744,NASDAQ,452885,0,-0.18,Technology Services,2
TMDI,"Titan Medical, Inc.",0.3,0.28,0.314,0.2612,0.28,2973555,0.32,-0.04,-0.125,2051047,16780792,2.9,0.1221,-0.576,NASDAQ,1014724,0,-0.61,Health Technology,3
USAU,U.S. Gold Corp.,6.57,7.21,7.265,6.5,7.21,216843,6.5,0.71,0.10923,71105,17203060,14,2.61,-0.01147,NASDAQ,621778,0,-1.9,Non-Energy Minerals,3
NVUS,"Novus Therapeutics, Inc.",1.18,1.14,1.19,1.02,1.14,457960,1.19,-0.05,-0.04202,844281,18319344,1.86,0.25,0.88658,NASDAQ,971739,0,-0.84,Health Technology,2
ELTK,Eltek Ltd.,4.21,4.19,4.21,4.13,4.19,18929,4.13,0.06,0.01453,45038,18353331,11.56,1.54,0.16883,NASDAQ,10424,0,8.67,Electronic Technology,4
PDSB,PDS Biotechnology Corp.,1.26,1.22,1.26,1.12,1.22,606308,1.17,0.05,0.04274,1271187,18741152,7.84,0.6153,-0.49516,NASDAQ,886697,0,-0.4,Health Technology,2
SEED,Origin Agritech Ltd.,3.78,3.74,3.89,3.51,3.74,7970,3.63,0.11,0.0303,27001,18743833,10.73,2.76,-0.2982,NASDAQ,7245,0,-1.69,Process Industries,4
ESEA,Euroseas Ltd.,3.97,3.4,5.1,3.02,3.4,11388685,2.43,0.97,0.39918,422781,19040884,6.56,1.23,0.24918,NASDAQ,12472,0,-3.14,Transportation,2
BWMCW,Boxwood Merger Corp.,,,,,0.8,0,,,,,20200000,0.8,0,0,NASDAQ,,0,,Finance,3
FTEK,"Fuel Tech, Inc.",0.8444,0.82,0.855,0.8001,0.82,117187,0.8597,-0.0397,-0.04618,1706211,20201848,1.8,0.3,-0.19198,NASDAQ,146489,0,-2.18,Industrial Services,4
BSQR,BSQUARE Corp.,1.6,1.57,1.65,1.54,1.57,71273,1.53,0.04,0.02614,39228,20564959,1.73,0.83,0.17214,NASDAQ,74043,0,-2.98,Technology Services,1
IDXG,"Interpace Biosciences, Inc.",5.25,5.18,5.3,4.95,5.18,47291,5.15,0.03,0.00583,111855,20909588,11,3.81,-0.00747,NASDAQ,35027,0,-1.02,Health Services,2
WRLS,Pensare Acquisition Corp.,,,3.95,2.21,2.68,0,2.68,0,0,8817,21260440,11.25,2.1,-0.6958,NASDAQ,131174,0,-5.44,Finance,2
PRPH,"ProPhase Labs, Inc.",,,,,1.84,251,1.94,-0.1,-0.05155,1869,21296160,3.36,1.63,-0.126927,NASDAQ,72,0,-6.78,Consumer Non-Durables,3
JCTCF,Jewett-Cameron Trading Co. Ltd.,6,6.2,6.374,6.05,6.2,1427,6.09,0.11,0.01806,2300,21583192,9.1,5,-0.20504,NASDAQ,267,0,17.44,Distribution Services,3
NEON,"Neonode, Inc.",2.48,2.56,2.569,2.43,2.56,6850,2.52,0.04,0.01587,35898,22556160,3.8,1.09,0.276954,NASDAQ,7508,6850,-5.94,Electronic Technology,1
WHLM,"Wilhelmina International, Inc.",4.5,4.5,4.5,4.31,4.5,43,4.5,0,0,503,23206500,6.22,2.35,-0.1228,NASDAQ,32,0,-3.17,Commercial Services,3
HX,Hexindai Inc.,0.43,0.48,0.5099,0.43,0.48,184282,0.43,0.05,0.11628,110392,23367104,2.84,0.25,-0.37312,NASDAQ,165592,0,-0.75,Finance,3
GYRO,Gyrodyne LLC,16.09,16.09,16.11,16.09,16.09,1289,16.04,0.05,0.00312,138,23861470,20,14.2,-0.14058,NASDAQ,,0,-10.36,Finance,1
WVVIP,"Willamette Valley Vineyards, Inc.",4.75,4.85,4.905,4.75,4.85,385,4.76,0.09,0.01891,424,24080250,5.25,4.2,0.00871,NASDAQ,1136,0,,Consumer Non-Durables,2
AIKI,"AIkido Pharma, Inc.",0.72,0.71,0.73,0.7012,0.71,1015907,0.73,-0.02,-0.0274,3395047,24793342,5.46,0.4748,-0.5129,NASDAQ,1359456,0,-0.3,Health Technology,2
NCSM,"NCS Multistage Holdings, Inc.",0.535,0.53,0.548,0.5212,0.53,95718,0.539,-0.009,-0.0167,121988,24998033,3.96,0.3119,-0.7631,NASDAQ,276623,0,-0.34,Industrial Services,4
FSRVW,Finserv Acquisition Corp.,,,0.8,0.8,0.8,0,,,,,25532000,0,0,0,NASDAQ,,0,,Finance,2
DAIO,Data I/O Corp.,3.04,3.12,3.29,3.04,3.12,12266,3.04,0.08,0.02632,17689,25651174,4.73,2.34,-0.23788,NASDAQ,13239,0,-14.5,Electronic Technology,3
MOGO,"Mogo, Inc.",0.915,0.93,0.9498,0.9,0.93,152239,0.9298,0.0002,0.00022,279175,25920030,1.34,0.7248,-0.00188,NASDAQ,354451,0,-3.51,Finance,2
KZIA,Kazia Therapeutics Ltd.,2.85,2.75,2.85,2.67,2.75,18779,2.71,0.04,0.01476,28325,26014560,9.74,2.24,-0.36724,NASDAQ,35665,0,-5.06,Health Technology,2
KEQU,Kewaunee Scientific Corp.,9.08,9.5,9.5,9.08,9.5,1811,9.08,0.42,0.04626,3191,26134500,22.53,6.96,-0.26784,NASDAQ,4041,0,-5.33,Producer Manufacturing,4
TRIB,Trinity Biotech Plc,1.56,1.29,1.56,1.21,1.29,3592475,1.63,-0.34,-0.20859,772783,26963584,2.66,0.56,0.04381,NASDAQ,1737459,0,-6.03,Health Technology,2
AEZS,"Æterna Zentaris, Inc.",1.17,1.15,1.18,1.11,1.15,162277,1.13,0.02,0.0177,454852,26993720,3.22,0.3962,0.2677,NASDAQ,327622,0,-53.99,Health Technology,2
STRM,"Streamline Health Solutions, Inc.",0.9935,0.97,0.9935,0.921,0.97,11743,0.9548,0.0152,0.01592,70543,29987356,2.09,0.529,-0.26558,NASDAQ,20123,0,7.85,Technology Services,1
BRPA,Big Rock Partners Acquisition Corp.,10.65,11.07,11.07,10.65,11.07,1,11.07,0,0,166,30066452,12.04,9.8,0.0463,NASDAQ,100,0,86.21,Finance,2
