"symbol","companyName","calculationPrice","open","openTime","close","closeTime","high","low","latestPrice","latestSource","latestTime","latestUpdate","latestVolume","iexRealtimePrice","iexRealtimeSize","iexLastUpdated","delayedPrice","delayedPriceTime","extendedPrice","extendedChange","extendedChangePercent","extendedPriceTime","previousClose","change","changePercent","iexMarketPercent","iexVolume","avgTotalVolume","iexBidPrice","iexBidSize","iexAskPrice","iexAskSize","marketCap","week52High","week52Low","ytdChange","primaryExchange","openSource","closeSource","highTime","highSource","lowTime","lowSource","oddLotDelayedPrice","oddLotDelayedPriceTime","previousVolume","volume","iexOpen","iexOpenTime","iexClose","iexCloseTime","peRatio","lastTradeTime","sector","esg"
"MSFT","Microsoft Corp.","close",180.04,1590586200515,181.81,1590609600894,181.988,176.6,181.81,"Close","May 27, 2020",1590609600894,39295096,181.84,36,1590609590206,181.55,1590655978790,180.63,-1.18,-0.00649,1590661105914,181.57,0.24,0.00132,0.01494753950976478,587365,37484598,0,0,0,0,1378745226400,190.7,119.01,0.14631999999999998,"NASDAQ","official","official",1590623990789,"15 minute delayed price",1590590988913,"15 minute delayed price",181.76,1590609598027,36073609,0,,,181.84,1590609590206,29.99,1590609599960,"Technology Services",16
"VMW","VMware, Inc.","close",138.95,1590586200583,139.66,1590609601943,140.25,134.45,139.66,"Close","May 27, 2020",1590609601943,1267519,139.695,100,1590609589859,141,1590623899742,140.9,1.24,0.00888,1590659210314,137.93,1.73,0.01254,0.06454321571627779,81324,1172589,0,0,0,0,58379253696,201.57,86,-0.07906,"New York Stock Exchange","official","official",1590623899742,"15 minute delayed price",1590591083318,"15 minute delayed price",139.83,1590609598433,1523520,0,,,139.695,1590609589859,8.99,1590609601935,"Technology Services",16
"WDAY","Workday, Inc.","close",170,1590586201245,170.38,1590609600228,170.93,162.66,170.38,"Close","May 27, 2020",1590609600228,3923562,181.21,30,1590611362100,178,1590655151003,180,9.62,0.05646,1590660502348,168.34,2.04,0.01212,0.028688727233060162,112562,2276932,0,0,0,0,39744926296,226.83,107.75,0.03792,"NASDAQ","official","official",1590623999377,"15 minute delayed price",1590591000201,"15 minute delayed price",170.34,1590609596790,3999095,0,,,170.11,1590609588901,-80.54,1590609600228,"Technology Services",16
"NLOK","NortonLifeLock, Inc.","close",19.95,1590586200441,19.86,1590609600222,20.01,18.91,19.86,"Close","May 27, 2020",1590609600222,7412741,19.86,200,1590609594522,19.95,1590623386143,19.95,0.09,0.00453,1590623386143,19.87,-0.01,-0.0005,0.021729824806128974,161073,6048086,0,0,0,0,11923626240,28.7,15.12,-0.225,"NASDAQ","official","official",1590623386143,"15 minute delayed price",1590586738741,"15 minute delayed price",19.87,1590609596842,4413012,0,,,19.86,1590609594522,3.16,1590609599074,"Technology Services",16
"V","Visa, Inc.","close",193.98,1590586201070,192.82,1590609602245,194.31,188.52,192.82,"Close","May 27, 2020",1590609602245,7649688,192.8,100,1590609593407,193,1590656001893,193.49,0.67,0.00347,1590661076780,193.22,-0.4,-0.00207,0.021645588682832555,165582,10573479,0,0,0,0,374744755648,214.17,133.93,0.01813,"New York Stock Exchange","official","official",1590623958364,"15 minute delayed price",1590590999820,"15 minute delayed price",193.7,1590611421356,9662199,0,,,192.8,1590609593407,34.64,1590609597935,"Finance",18
"JKHY","Jack Henry & Associates, Inc.","close",181.77,1590586201029,176.72,1590609600896,185.09,175.22,176.72,"Close","May 27, 2020",1590609600896,925715,176.7,11,1590609597631,176.72,1590614840466,176.72,0,0,1590614840466,181.76,-5.04,-0.02773,0.0684992770582131,63104,570405,0,0,0,0,13539473488,195.03,123.64,0.17876999999999998,"NASDAQ","official","official",1590614840466,"15 minute delayed price",1590593922952,"15 minute delayed price",176.73,1590609598564,617370,0,,,176.7,1590609597631,45.86,1590609601941,"Technology Services",19
"CDK","CDK Global, Inc.","close",41.2,1590586200550,40.71,1590609600601,41.85,40.46,40.71,"Close","May 27, 2020",1590609600601,1035916,40.75,100,1590609589049,38,1590613551538,38,-2.71,-0.06657,1590613551538,40.55,0.16,0.00395,0.09393425721776669,97308,925753,0,0,0,0,4947404880,57,29.12,-0.25655,"NASDAQ","official","official",1590613551538,"15 minute delayed price",1590609001383,"15 minute delayed price",40.72,1590609599019,1039044,0,,,40.75,1590609589049,703.11,1590609600601,"Commercial Services",19
"CTSH","Cognizant Technology Solutions Corp.","close",54.31,1590586200357,55.35,1590609600229,55.41,53.975,55.35,"Close","May 27, 2020",1590609600229,3709677,55.335,431,1590609596207,55.32,1590621053410,54.99,-0.36,-0.0065,1590660893942,53.26,2.09,0.03924,0.03289118309943562,121842,3943999,0,0,0,0,29921103000,71.48,40.01,-0.07216,"NASDAQ","official","official",1590621053410,"15 minute delayed price",1590590996844,"15 minute delayed price",55.36,1590609597936,3632820,0,,,55.335,1590609596207,17.31,1590609600229,"Technology Services",19
"NTES","NetEase, Inc.","close",386.13,1590586200461,377.1,1590609600324,387.58,375,377.1,"Close","May 27, 2020",1590609600324,849806,377.115,9,1590609595016,377.1,1590621425747,377.5,0.4,0.00106,1590660868375,386.34,-9.24,-0.02392,0.05408881556496424,45965,689720,0,0,0,0,48719819519,402.06,209.01,0.17788,"NASDAQ","official","official",1590621425747,"15 minute delayed price",1590599510441,"15 minute delayed price",377.26,1590609598002,899963,0,,,377.115,1590609595016,15.18,1590609600324,"Technology Services",19
"PYPL","PayPal Holdings, Inc.","close",145.53,1590586200943,145.96,1590609600392,146.4,140.02,145.96,"Close","May 27, 2020",1590609600392,9428336,145.895,37,1590609598718,145.92,1590655232522,144.88,-1.08,-0.0074,1590661119744,147,-1.04,-0.00707,0.03153059033958908,297281,10158189,0,0,0,0,171380393600,154.55,82.07,0.32622999999999996,"NASDAQ","official","official",1590623352953,"15 minute delayed price",1590590988577,"15 minute delayed price",145.955,1590609597960,10267534,0,,,145.895,1590609598718,91.39,1590609598718,"Technology Services",19
