symbol,esg_category
PSTVZ,2
AMRHW,3
CYTXZ,2
DRIOW,2
LMFAW,3
CHEKW,2
AMRHW,1
OXBRW,1
ALGRW,2
AIRTW,3
EYEGW,2
TOTAW,2
KBLMW,3
BRPAW,2
ALGRR,2
NBACW,2
MNGA,2
CETXW,1
SGLBW,1
FLLCW,2
SRTSW,2
BNTCW,2
NUROW,2
KBLMR,3
SLRX,2
CNACW,3
ESTRW,2
BRPAR,2
ORSNW,2
LOACW,2
QLGN,2
AGBAW,2
TOTAR,3
AGFSW,4
TBLTW,1
IEAWW,3
LIVKW,2
ARTLW,1
CLRBZ,2
AVCTW,1
ZGYHW,2
PHIOW,2
AMRWW,3
GTECW,2
GLACW,2
FLLCR,2
LOACR,2
HCCHW,3
HCCHR,3
GRNVW,2
PAACW,2
OPESW,2
ZGYHR,2
SJOYW,3
NBACR,2
AGBAR,2
GPAQW,2
ALACW,2
ANDAW,2
ESSCW,2
WRLSW,2
SJOYW,3
CHEKZ,2
ORSNR,2
DEST,2
TZACW,2
JFKKW,2
NHLDW,2
NDRAW,2
JFKKR,2
HHHHW,2
ALACR,2
DDMXW,2
VLRX,2
ANDAR,2
PTACW,2
LACQW,2
USWSW,1
TDACW,3
ADILW,2
INAP,2
ESSCR,2
EYESW,2
GRNVR,2
TKKSW,2
MTFB,2
SAQNW,2
SRACW,2
PAACR,2
HJLIW,2
CTRV,2
ABIL,2
DSKEW,3
RBZ,2
TRPX,2
CREXW,1
APEX,2
GSMGW,3
IGLD,2
AMRH,3
ORPN,2
BRACW,2
MCEP,3
MYNDW,2
IMACW,3
MTSL,1
CUR,2
OPTT,4
APRI,2
LMFA,3
ATCXW,2
SNNA,2
LATNW,2
MTSL,2
WRLSR,2
SES,3
GNRSW,2
AFH,2
GLBS,3
IPWR,4
MNCLW,2
GEMP,2
KTOVW,2
CHPMW,2
EDTXW,2
XBIOW,2
CYTX,2
RPAYW,2
DRAD,2
KBSF,2
EARS,2
CCCL,3
TCCO,2
NAKD,2
AMRH,1
ARTL,2
BLIN,2
CREG,4
ENTXW,2
MARPS,2
BCDAW,2
OXBR,2
SPEX,1
MYSZ,2
HCCOW,2
SUMR,2
CTIB,4
MOSY,2
SUMR,2
SAMAW,2
OPHC,2
ABEOW,2
HCACW,2
NURO,2
SNES,2
XBIO,2
ABIO,2
AMHCW,2
SLNG,1
IKNX,4
THCAW,2
CGIX,2
FAMI,2
CTRM,3
SCKT,4
NVFY,3
TSRI,3
YGTY,3
OTIV,2
CARV,2
JAN,3
SINO,3
JMU,3
CLWT,2
PSTV,2
BIOC,3
SAEX,3
NVIV,2
RELV,2
STAF,3
HHHHR,2
HJLI,2
BIOC,2
XTLB,2
HIHO,3
MYSZ,2
FFHL,4
HHT,2
PTIE,2
MCMJW,3
ISIG,3
ARCI,2
ANCN,2
SPEX,2
SGLB,1
LLIT,2
PIXY,3
EDRY,3
OBLN,2
SCON,4
LFACW,2
USEG,3
WISA,4
BOSC,2
BNGOW,2
ENT,2
AETI,4
SNCA,2
ANTE,2
CETX,2
PPSI,4
SUNW,3
KOSS,3
MDRR,2
ARTW,3
SES,4
ATHE,2
SSNT,1
VERBW,3
HUSN,3
RCON,2
IDSA,2
REXN,2
NSYS,1
VTL,2
TWMC,2
SSPKW,2
MUDSW,2
CTRC,2
RCON,2
NNDM,4
MFH,1
DYNT,2
SNOA,2
OPGN,2
CLDC,2
VIVE,2
NETE,1
IMRN,2
SINT,2
MOXC,1
YVR,1
IPDN,2
JMU,2
CGIX,2
APOP,2
PRPO,2
MDGS,2
AVGR,2
SMIT,3
PHUNW,1
JRJC,1
EVK,2
AIHS,2
MYOS,2
PHIO,2
LYL,2
MRIN,2
BBI,2
WAFU,3
FLKS,2
MTP,2
KGJI,3
BNSO,3
LSACW,2
ELSE,4
YVR,2
GHIVW,2
SNGXW,2
LEDS,2
BNTC,2
FORD,3
TCON,2
FRAN,2
CETXP,2
NFINW,2
ESTR,2
NXTD,2
TYHT,4
SXTC,2
YTEN,4
DMPI,2
ICON,2
AEMD,2
SUMR,2
DXYN,3
EVOL,1
TENX,2
EDGE,2
OTLKW,2
TKKSR,2
NXTD,3
KOOL,2
NAOV,2
TUES,2
LIVE,1
SQBG,2
NDRA,2
CYAN,2
MICT,2
WWR,3
PETZ,2
GNMX,2
NPAWW,2
WHLR,3
AUTO,3
CTXRW,2
WSTL,4
CIFS,2
LIVE,2
MARA,3
OSN,2
DRADP,2
DGLY,2
AMCIW,2
CLRB,2
ZRPTAX,2
CLIR,2
ZRPTIX,2
VVPR,2
THCBW,2
SGMA,3
APWC,2
POLA,2
SPI,3
IMTE,2
FLMNW,3
NVLN,2
MKGI,2
DRIO,2
BOXL,3
HAIR,2
SOLOW,3
TROV,2
TROV,2
SLRX,2
INSUW,2
ZRPTDX,2
SGRP,3
SYPR,3
DNJR,2
EDNT,3
TAIT,2
CHFS,2
