symbol,esg_category
PSTVZ,2
AMRHW,2
CYTXZ,2
DRIOW,2
LMFAW,2
CHEKW,2
AMRHW,2
OXBRW,2
ALGRW,3
AIRTW,2
EYEGW,2
TOTAW,2
KBLMW,2
BRPAW,2
ALGRR,3
NBACW,2
MNGA,3
CETXW,2
SGLBW,2
FLLCW,2
SRTSW,2
BNTCW,2
NUROW,2
KBLMR,2
SLRX,2
CNACW,3
ESTRW,2
BRPAR,2
ORSNW,3
LOACW,3
QLGN,3
AGBAW,2
TOTAR,2
AGFSW,2
TBLTW,2
IEAWW,2
LIVKW,3
ARTLW,2
CLRBZ,2
AVCTW,2
ZGYHW,2
PHIOW,2
AMRWW,3
GTECW,3
GLACW,2
FLLCR,2
LOACR,3
HCCHW,2
HCCHR,2
GRNVW,2
PAACW,2
OPESW,2
ZGYHR,2
SJOYW,2
NBACR,2
AGBAR,2
GPAQW,2
ALACW,2
ANDAW,3
ESSCW,2
WRLSW,3
SJOYW,2
CHEKZ,2
ORSNR,3
DEST,3
TZACW,2
JFKKW,2
NHLDW,2
NDRAW,2
JFKKR,2
HHHHW,2
ALACR,3
DDMXW,3
VLRX,3
ANDAR,2
PTACW,2
LACQW,3
USWSW,2
TDACW,2
ADILW,2
INAP,2
ESSCR,2
EYESW,2
GRNVR,3
TKKSW,3
MTFB,1
SAQNW,2
SRACW,3
PAACR,2
HJLIW,2
CTRV,3
ABIL,1
DSKEW,2
RBZ,3
TRPX,3
CREXW,2
APEX,2
GSMGW,2
IGLD,3
AMRH,2
ORPN,3
BRACW,3
MCEP,3
MYNDW,2
IMACW,2
MTSL,2
CUR,3
OPTT,3
APRI,3
LMFA,2
ATCXW,2
SNNA,2
LATNW,3
MTSL,1
WRLSR,2
SES,3
GNRSW,2
AFH,3
GLBS,3
IPWR,2
MNCLW,2
GEMP,3
KTOVW,2
CHPMW,3
EDTXW,2
XBIOW,2
CYTX,3
RPAYW,2
DRAD,3
KBSF,2
EARS,3
CCCL,2
TCCO,4
NAKD,3
AMRH,2
ARTL,3
BLIN,2
CREG,3
ENTXW,2
MARPS,2
BCDAW,2
OXBR,2
SPEX,2
MYSZ,2
HCCOW,3
SUMR,2
CTIB,2
MOSY,4
SUMR,2
SAMAW,3
OPHC,2
ABEOW,3
HCACW,2
NURO,3
SNES,3
XBIO,3
ABIO,2
AMHCW,3
SLNG,4
IKNX,3
THCAW,2
CGIX,3
FAMI,3
CTRM,3
SCKT,4
NVFY,2
TSRI,2
YGTY,3
OTIV,4
CARV,2
JAN,2
SINO,2
JMU,2
CLWT,2
PSTV,2
BIOC,2
SAEX,4
NVIV,3
RELV,2
STAF,2
HHHHR,2
HJLI,3
BIOC,3
XTLB,2
HIHO,2
MYSZ,2
FFHL,2
HHT,3
PTIE,3
MCMJW,2
ISIG,2
ARCI,2
ANCN,3
SPEX,2
SGLB,2
LLIT,2
PIXY,3
EDRY,3
OBLN,3
SCON,1
LFACW,2
USEG,2
WISA,4
BOSC,2
BNGOW,2
ENT,3
AETI,2
SNCA,3
ANTE,2
CETX,4
PPSI,3
SUNW,3
KOSS,3
MDRR,3
ARTW,2
SES,3
ATHE,3
SSNT,2
VERBW,2
HUSN,3
RCON,3
IDSA,3
REXN,2
NSYS,4
VTL,3
TWMC,2
SSPKW,2
MUDSW,3
CTRC,3
RCON,2
NNDM,3
MFH,2
DYNT,3
SNOA,2
OPGN,2
CLDC,3
VIVE,3
NETE,2
IMRN,2
SINT,3
MOXC,2
YVR,2
IPDN,2
JMU,2
CGIX,2
APOP,2
PRPO,3
MDGS,2
AVGR,3
SMIT,2
PHUNW,2
JRJC,2
EVK,2
AIHS,3
MYOS,2
PHIO,3
LYL,2
MRIN,2
BBI,2
WAFU,2
FLKS,2
MTP,3
KGJI,3
BNSO,2
LSACW,2
ELSE,2
YVR,2
GHIVW,2
SNGXW,2
LEDS,2
BNTC,2
FORD,2
TCON,2
FRAN,3
CETXP,2
NFINW,2
ESTR,3
NXTD,2
TYHT,3
SXTC,3
YTEN,2
DMPI,2
ICON,2
AEMD,2
SUMR,2
DXYN,3
EVOL,2
TENX,2
EDGE,3
OTLKW,2
TKKSR,2
NXTD,2
KOOL,2
NAOV,2
TUES,3
LIVE,2
SQBG,3
NDRA,3
CYAN,3
MICT,2
WWR,2
PETZ,2
GNMX,3
NPAWW,3
WHLR,2
AUTO,3
CTXRW,2
WSTL,2
CIFS,3
LIVE,2
MARA,3
OSN,2
DRADP,2
DGLY,4
AMCIW,2
CLRB,3
ZRPTAX,2
CLIR,4
ZRPTIX,2
VVPR,2
THCBW,2
SGMA,4
APWC,4
POLA,4
SPI,4
IMTE,4
FLMNW,2
NVLN,3
MKGI,3
DRIO,3
BOXL,3
HAIR,2
SOLOW,2
TROV,2
TROV,2
SLRX,3
INSUW,3
ZRPTDX,2
SGRP,3
SYPR,2
DNJR,2
EDNT,2
TAIT,2
CHFS,3
MYND,2
EFOI,2
OPGNW,2
TAOP,2
EAST,3
HSGX,3
ACHV,3
VICL,3
ELGX,3
TIBRW,2
CIICW,2
BIOL,3
AREC,3
PFIN,2
KERNW,2
LONE,3
IMAC,2
KIRK,3
XELB,2
RWLK,3
TTPH,3
UMRX,3
DUOT,2
BKYI,2
AKER,2
CHCI,2
SFET,1
RMBL,2
JVA,2
EXPCW,2
CNAC,3
RAIL,2
TMDI,3
HEPA,3
CHEK,3
POAI,3
EVSIW,2
USAU,2
AMTX,2
GENE,2
GEVO,3
TRMT,3
LCAHW,2
PNRL,2
ADIL,3
MYT,2
RGLS,3
NVUS,2
ACAMW,3
ELTK,2
RAND,3
EEI,2
CNAT,2
SNDE,3
PRTO,2
SPCB,2
CPSH,2
AEY,3
OCC,4
RCMT,3
NTEC,3
PDSB,3
SEED,2
